item_id,paradigm,domain,difficulty_level,question,correct_answer
staircase_math_006,staircase,math,3,"David earned money over 2 days. On Monday, David earned $119. On Tuesday, David earned $300. David was wearing a red hat that day. How much did David earn in total?",419
staircase_math_010,staircase,math,6,"Tom wants to buy a bicycle that costs $2844. The store is offering a 50% discount today. The store's loyalty program showed Tom had 40 points, which weren't redeemable yet. The cashier mentioned they had sold 36 items earlier that day to someone else. How much does Tom pay after the discount?",1422
staircase_math_012,staircase,math,2,Maria has 39 bananas. Maria gives 17 to Rachel and buys 42 more. How many bananas does Maria have now?,64
staircase_math_017,staircase,math,3,Sarah has 199 pears. The store had been open since 1987. Sarah gives 75 to Aisha and buys 113 more. How many pears does Sarah have now?,237
staircase_math_018,staircase,math,4,"Carlos earned money over 3 days. On Monday, Carlos earned $294. On Tuesday, Carlos earned $513. On Wednesday, Carlos earned $189. The cashier mentioned they had sold 2 items earlier that day to someone else. How much did Carlos earn in total?",996
staircase_math_019,staircase,math,3,Tom has 20 oranges. Tom was wearing a red hat that day. Tom gives 8 to Sarah and buys 136 more. How many oranges does Tom have now?,148
staircase_math_022,staircase,math,1,Rachel goes to a store to buy notebooks. Each notebook costs $1. Rachel buys 17 of them. How much does Rachel spend in total?,17
staircase_math_025,staircase,math,4,"Aisha earned a total of $1280 over three days. There were 6 items in the clearance bin, but Aisha wasn't interested. On the first day, Aisha earned $580. On the second day, Aisha earned $402. How much did Aisha earn on the third day?",298
staircase_math_031,staircase,math,5,"Rachel bought 10 markers and paid $1690 in total. Each marker cost the same amount. The store's loyalty program showed Rachel had 21 points, which weren't redeemable yet. How much did each marker cost?",169
staircase_math_035,staircase,math,4,Nadia has 661 bananas and 247 apples. Nadia gives 178 bananas to a friend. Nadia noticed that 27 other customers were in the store. How many bananas does Nadia have now?,483
staircase_math_036,staircase,math,2,Sarah has $31. Sarah spends $7 on a book. Sarah spends $10 on a gift. How much money does Sarah have left?,14
staircase_math_040,staircase,math,4,"Sarah goes shopping with $938. Sarah buys 5 markers at $79 each. There were 29 items in the clearance bin, but Sarah wasn't interested. Sarah buys 1 pens at $48 each. Sarah buys 4 notebooks at $56 each. How much money does Sarah have left?",271
staircase_math_043,staircase,math,3,Kenji has 118 cookies. Kenji's favorite color is blue. Lin has 3 times as many cookies as Kenji. How many cookies do they have together?,472
staircase_math_048,staircase,math,5,Aisha has $6163. Aisha spends $1799 on a gift. Aisha spends $228 on a book. Aisha had 48 coupons in a drawer at home but forgot to bring them. Aisha spends $2314 on coffee. How much money does Aisha have left?,1822
staircase_math_051,staircase,math,3,Priya has 416 stickers and wants to share them equally among 4 friends. Priya was wearing a red hat that day. How many stickers does each friend get?,104
staircase_math_052,staircase,math,1,David has 28 mangoes. David gives 11 to Maria and buys 27 more. How many mangoes does David have now?,44
staircase_math_055,staircase,math,1,James has 12 cookies and wants to share them equally among 6 friends. How many cookies does each friend get?,2
staircase_math_056,staircase,math,6,"James has 1566 cookies. The store also had 25 envelopes on display, but James didn't buy any. Nadia has 2 times as many cookies as James. James's friend had mentioned wanting 45 cookies, but James didn't get any for them. How many cookies do they have together?",4698
staircase_math_059,staircase,math,3,"Nadia builds 38 widgets per day. The store had been open since 1987. If Nadia works for 8 days, how many widgets does Nadia produce?",304
staircase_math_061,staircase,math,4,"Omar has 548 bananas and 417 mangoes. Omar gives 200 bananas to a friend. Omar's friend had mentioned wanting 46 bananas, but Omar didn't get any for them. How many bananas does Omar have now?",348
staircase_math_072,staircase,math,4,"Kenji saves $109 every week for 5 weeks. During that time, Kenji spends $5 on concert tickets. Kenji's friend had mentioned wanting 39 items, but Kenji didn't get any for them. How much money does Kenji have at the end?",540
staircase_math_074,staircase,math,5,"Tom earned money over 3 days. On Monday, Tom earned $701. On Tuesday, Tom earned $4744. On Wednesday, Tom earned $5221. The shelf had 37 empty spots where items used to be. How much did Tom earn in total?",10666
staircase_math_077,staircase,math,4,"Lin bought 3 markers and paid $441 in total. On the way there, Lin passed 29 houses. Each marker cost the same amount. How much did each marker cost?",147
staircase_math_078,staircase,math,5,Fatima goes shopping with $4509. Fatima buys 8 erasers at $156 each. Fatima had 46 coupons in a drawer at home but forgot to bring them. Fatima buys 5 markers at $113 each. Fatima buys 6 folders at $65 each. How much money does Fatima have left?,2306
staircase_math_082,staircase,math,6,"Alex earned a total of $15117 over three days. On the way there, Alex passed 10 houses. The store also had 29 batteries on display, but Alex didn't buy any. On the first day, Alex earned $2220. On the second day, Alex earned $6424. How much did Alex earn on the third day?",6473
staircase_math_083,staircase,math,4,Kenji bought 9 notebooks and paid $315 in total. The shelf had 35 empty spots where notebooks used to be. Each notebook cost the same amount. How much did each notebook cost?,35
staircase_math_085,staircase,math,4,"Priya has 188 bananas and 180 oranges. There were 38 items in the clearance bin, but Priya wasn't interested. Priya gives 77 bananas to a friend. How many bananas does Priya have now?",111
staircase_math_086,staircase,math,4,Aisha wants to buy a camera that costs $748. The store is offering a 50% discount today. Aisha noticed that 49 other customers were in the store. How much does Aisha pay after the discount?,374
staircase_math_087,staircase,math,2,"Nadia earned money over 4 days. On Monday, Nadia earned $17. On Tuesday, Nadia earned $18. On Wednesday, Nadia earned $26. On Thursday, Nadia earned $16. How much did Nadia earn in total?",77
staircase_math_088,staircase,math,3,Tom has 340 mangoes. The receipt was printed on recycled paper. Tom gives 131 to Aisha and buys 472 more. How many mangoes does Tom have now?,681
staircase_logic_000,staircase,logic,4,Finn is a Snazzles. Every Snazzles is a Murnips. Every Murnips is a Flimbers. All Blorps are wise. Every Flimbers is a Wumpuses. Is Finn a Quibbles?,Cannot be determined
staircase_logic_005,staircase,logic,3,Mina's favorite color is orange. Jake enjoys gardening. Finn's favorite color is yellow. Gina's favorite color is blue. Iris does not like blue or orange. Iris's favorite color is red. Noel does not like blue. What is Noel's favorite color?,purple
staircase_logic_008,staircase,logic,3,"If something is a Snazzles, it might be wise. Ora is a Quibbles. Every Quibbles is a Tazzles. Every Tazzles is a Grumpkins. Every Grumpkins is a Fizzgigs. Is Ora a Fizzgigs?",Yes
staircase_logic_010,staircase,logic,4,All Snazzles are kind. Ora is a Murnips. All Murnips are quiet. All quiet things are kind. Is Ora not kind?,No
staircase_logic_015,staircase,logic,5,"Hugo is a Drazzles. All Drazzles are fast. If something is fast, then it is wise. Some Quibbles are tall. If something is wise, then it is kind. Is Hugo clever?",Cannot be determined
