item_id,domain,difficulty,question,correct_answer
staircase_math_006,math,3,"David earned money over 2 days. On Monday, David earned $119. On Tuesday, David earned $300. David was wearing a red hat that day. How much did David earn in total?",419
staircase_math_010,math,6,"Tom wants to buy a bicycle that costs $2844. The store is offering a 50% discount today. The store's loyalty program showed Tom had 40 points, which weren't redeemable yet. The cashier mentioned they had sold 36 items earlier that day to someone else. How much does Tom pay after the discount?",1422
staircase_math_012,math,2,Maria has 39 bananas. Maria gives 17 to Rachel and buys 42 more. How many bananas does Maria have now?,64
staircase_math_017,math,3,Sarah has 199 pears. The store had been open since 1987. Sarah gives 75 to Aisha and buys 113 more. How many pears does Sarah have now?,237
staircase_math_018,math,4,"Carlos earned money over 3 days. On Monday, Carlos earned $294. On Tuesday, Carlos earned $513. On Wednesday, Carlos earned $189. The cashier mentioned they had sold 2 items earlier that day to someone else. How much did Carlos earn in total?",996
staircase_math_019,math,3,Tom has 20 oranges. Tom was wearing a red hat that day. Tom gives 8 to Sarah and buys 136 more. How many oranges does Tom have now?,148
staircase_math_022,math,1,Rachel goes to a store to buy notebooks. Each notebook costs $1. Rachel buys 17 of them. How much does Rachel spend in total?,17
staircase_math_025,math,4,"Aisha earned a total of $1280 over three days. There were 6 items in the clearance bin, but Aisha wasn't interested. On the first day, Aisha earned $580. On the second day, Aisha earned $402. How much did Aisha earn on the third day?",298
staircase_math_031,math,5,"Rachel bought 10 markers and paid $1690 in total. Each marker cost the same amount. The store's loyalty program showed Rachel had 21 points, which weren't redeemable yet. How much did each marker cost?",169
staircase_math_035,math,4,Nadia has 661 bananas and 247 apples. Nadia gives 178 bananas to a friend. Nadia noticed that 27 other customers were in the store. How many bananas does Nadia have now?,483
staircase_math_036,math,2,Sarah has $31. Sarah spends $7 on a book. Sarah spends $10 on a gift. How much money does Sarah have left?,14
staircase_math_040,math,4,"Sarah goes shopping with $938. Sarah buys 5 markers at $79 each. There were 29 items in the clearance bin, but Sarah wasn't interested. Sarah buys 1 pens at $48 each. Sarah buys 4 notebooks at $56 each. How much money does Sarah have left?",271
staircase_math_043,math,3,Kenji has 118 cookies. Kenji's favorite color is blue. Lin has 3 times as many cookies as Kenji. How many cookies do they have together?,472
staircase_math_048,math,5,Aisha has $6163. Aisha spends $1799 on a gift. Aisha spends $228 on a book. Aisha had 48 coupons in a drawer at home but forgot to bring them. Aisha spends $2314 on coffee. How much money does Aisha have left?,1822
staircase_math_051,math,3,Priya has 416 stickers and wants to share them equally among 4 friends. Priya was wearing a red hat that day. How many stickers does each friend get?,104
staircase_math_052,math,1,David has 28 mangoes. David gives 11 to Maria and buys 27 more. How many mangoes does David have now?,44
staircase_math_055,math,1,James has 12 cookies and wants to share them equally among 6 friends. How many cookies does each friend get?,2
