item_id,domain,difficulty,question,correct_answer,template_id,seed
math_0000,math,1,Kenji goes to a store to buy pens. Each pen costs $35. Kenji buys 17 of them. How much does Kenji spend in total?,595,simple_purchase,524042930
math_0001,math,4,"Priya earned money over 3 days. On Monday, Priya earned $511. On the way there, Priya passed 12 houses. On Tuesday, Priya earned $673. On Wednesday, Priya earned $466. How much did Priya earn in total?",1650,multi_day_earning,1753750614
math_0002,math,3,"Marcus reads 45 pages per hour. The receipt was printed on recycled paper. If Marcus works for 2 hours, how many pages does Marcus read?",90,rate_and_time,1520593017
math_0003,math,4,"Carlos earned money over 2 days. On Monday, Carlos earned $385. The store's loyalty program showed Carlos had 22 points, which weren't redeemable yet. On Tuesday, Carlos earned $614. How much did Carlos earn in total?",999,multi_day_earning,1522275064
math_0004,math,2,Maria has 25 peaches. Maria gives 11 to James and buys 15 more. How many peaches does Maria have now?,29,give_and_buy,1645768523
math_0005,math,2,Kenji has 21 stickers and wants to share them equally among 7 friends. How many stickers does each friend get?,3,share_equally,1176102363
math_0006,math,3,Lin wants to buy a camera that costs $110. Lin was wearing a red hat that day. The store is offering a 20% discount today. How much does Lin pay after the discount?,88,percentage_discount,456641031
math_0007,math,5,"Fatima has 8557 pears and 193 oranges. Fatima gives 332 pears to a friend. There were 29 items in the clearance bin, but Fatima wasn't interested. How many pears does Fatima have now?",8225,trap_irrelevant_operation,1413773967
math_0008,math,1,Lin goes to a store to buy notebooks. Each notebook costs $47. Lin buys 3 of them. How much does Lin spend in total?,141,simple_purchase,983235129
math_0009,math,4,"Omar saves $19 every week for 3 weeks. The shelf had 28 empty spots where items used to be. During that time, Omar spends $3 on concert tickets. During that time, Omar spends $12 on a video game. How much money does Omar have at the end?",42,savings_over_weeks,1542360951
math_0010,math,4,David wants to buy a jacket that costs $580. The store is offering a 20% discount today. The shelf had 50 empty spots where items used to be. How much does David pay after the discount?,464,percentage_discount,1299866628
math_0011,math,6,"Marcus earned a total of $12981 over three days. On the first day, Marcus earned $3990. On the second day, Marcus earned $7785. Marcus's friend had mentioned wanting 50 items, but Marcus didn't get any for them. On the way there, Marcus passed 19 houses. How much did Marcus earn on the third day?",1206,reverse_earning,1204167894
math_0012,math,6,"Aisha and Priya sort files together. Aisha can finish 27 per hour and Priya can finish 69 per hour. On the way there, Aisha passed 18 houses. 50 of the items were slightly bruised, but Aisha kept them all. They work together for 2 hours. How many do they complete in total?",192,combined_work,563743156
math_0013,math,6,"Kenji earned a total of $17171 over three days. On the first day, Kenji earned $1564. The store also had 17 envelopes on display, but Kenji didn't buy any. Kenji's friend had mentioned wanting 32 items, but Kenji didn't get any for them. On the second day, Kenji earned $8784. How much did Kenji earn on the third day?",6823,reverse_earning,1475570854
